                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5063,                 1.0239,                  1.194,                0.76642,                 0.1651,                0.48401,                0.27742,                 1.4013,                 1.1954,                 1.1897,               0.000948,               0.000948,               0.000948
                     36,                 1.4777,                 0.9841,                 1.2032,                0.68051,                0.31883,                0.51851,                0.31523,                  1.394,                 1.1563,                 1.1683,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.4906,                 1.0069,                 1.2316,                0.57785,                0.10257,                0.34905,                 0.1825,                 1.4905,                   1.17,                 1.2121,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.4077,                0.97304,                 1.1505,                0.74896,                0.18176,                0.48217,                0.27067,                  1.526,                 1.1573,                 1.2237,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.4212,                0.96056,                 1.1664,                0.85823,                0.17004,                0.45361,                0.28112,                 1.4775,                  1.155,                 1.1992,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.3915,                0.96972,                 1.1614,                0.65896,                0.35028,                0.53985,                0.30324,                 1.5072,                 1.1961,                  1.215,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.4626,                0.98544,                 1.1581,                0.77846,                0.17026,                0.43664,                0.26723,                 1.4916,                 1.1533,                 1.2032,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.4274,                0.94326,                 1.1652,                0.69845,                0.10257,                0.35909,                0.21889,                 1.4435,                 1.0583,                 1.1881,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.3749,                0.92658,                 1.1445,                0.79219,                 0.1774,                0.41773,                0.26914,                 1.4733,                  1.042,                 1.1951,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.4151,                0.95352,                 1.1522,                0.66284,                 0.1651,                0.38473,                0.24687,                 1.5633,                 1.0816,                 1.2433,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.3701,                0.91957,                 1.1495,                0.60697,                0.08975,                0.30966,                 0.2082,                 1.5035,                 1.0794,                  1.209,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.3687,                0.90562,                 1.1297,                0.53472,                0.10257,                0.32069,                0.21795,                 1.4405,                 1.0293,                 1.1876,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.3184,                0.88002,                 1.1217,                0.67661,                0.16342,                0.38336,                0.26182,                 1.4114,                 1.0246,                 1.1733,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.3184,                0.86533,                  1.138,                0.86632,                0.10249,                0.34945,                0.22912,                  1.404,                 1.0525,                 1.1577,             0.00076409,             0.00076409,             0.00076409
                     49,                  1.346,                0.89816,                 1.1618,                0.78268,                0.51758,                0.63509,                 0.4001,                 1.4275,                 1.0454,                 1.1669,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.3206,                0.86613,                 1.1118,                0.91598,                0.24986,                0.48287,                0.30141,                 1.4903,                 1.0404,                 1.2051,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.3154,                0.87695,                 1.1249,                0.84367,                0.34895,                0.55264,                0.34419,                 1.4853,                0.99282,                 1.1953,             0.00072164,             0.00072164,             0.00072164
